File,W,S,A,D,WA,WD,SA,SD,NK,NONE
training_data-101.npy,2564,174,192,105,371,373,90,113,1015,3
training_data-102.npy,2769,64,135,244,539,292,0,50,902,5
training_data-103.npy,3536,0,88,91,231,284,0,0,769,1
training_data-104.npy,3889,7,28,117,288,255,0,12,402,2
training_data-105.npy,3931,10,27,40,184,229,0,0,578,1
training_data-106.npy,4167,15,12,12,210,210,0,0,373,1
training_data-107.npy,3925,45,60,27,225,209,0,0,505,4
training_data-108.npy,3703,0,23,51,199,250,0,0,767,7
training_data-109.npy,3209,20,148,232,292,288,0,0,806,5
training_data-110.npy,2594,62,114,297,703,423,228,70,501,8
training_data-111.npy,3373,8,126,186,471,498,17,0,318,3
training_data-112.npy,3854,0,62,110,295,275,0,0,401,3
training_data-113.npy,4134,0,14,17,149,213,0,0,471,2
training_data-114.npy,4088,0,35,15,222,285,0,0,353,2
training_data-115.npy,2838,13,265,144,238,262,75,0,1163,2
training_data-116.npy,2809,44,219,140,344,363,0,56,1019,6
training_data-117.npy,2997,136,33,112,478,500,44,57,635,8
training_data-118.npy,3044,38,148,177,520,459,0,18,593,3
training_data-119.npy,4086,0,26,22,275,245,0,0,344,2
training_data-120.npy,3812,0,81,34,253,224,0,0,595,1
training_data-121.npy,3821,8,113,59,334,351,0,45,264,5
training_data-122.npy,4249,0,17,6,161,237,0,0,329,1
training_data-123.npy,4002,19,46,57,241,218,0,0,417,0
training_data-124.npy,2883,63,322,227,428,389,0,0,686,2
training_data-125.npy,3329,81,166,155,339,283,31,0,613,3
training_data-126.npy,3090,29,281,252,232,186,182,0,745,3
training_data-127.npy,3350,10,175,157,375,301,0,77,553,2
training_data-128.npy,3422,12,193,304,375,196,0,0,495,3
training_data-129.npy,4161,0,10,18,243,262,0,0,305,1
training_data-130.npy,3921,0,29,7,145,115,0,0,781,2
training_data-131.npy,4118,0,12,18,366,256,0,0,227,3
training_data-132.npy,3822,0,135,49,289,360,0,0,343,2
training_data-133.npy,3348,7,100,180,456,377,0,43,486,3
training_data-134.npy,3164,0,229,177,293,255,0,0,882,0
training_data-135.npy,3285,7,426,69,438,276,0,0,497,2
training_data-136.npy,3946,18,36,80,233,252,11,0,419,5
training_data-137.npy,3199,0,186,144,491,186,0,106,682,6
training_data-138.npy,3144,0,75,48,419,247,0,0,1061,6
training_data-139.npy,3566,22,69,233,335,174,0,34,559,8
training_data-140.npy,3150,79,232,123,393,364,2,0,654,3
training_data-141.npy,3018,25,214,191,394,335,0,0,821,2
training_data-142.npy,3358,96,96,112,367,356,0,7,604,4
training_data-143.npy,2833,26,236,219,563,469,0,0,651,3
training_data-144.npy,3930,0,36,40,326,279,0,0,389,0
training_data-145.npy,4109,0,14,40,299,262,0,0,273,3
training_data-146.npy,3006,23,245,214,475,412,1,0,620,4
training_data-147.npy,3405,0,162,122,295,399,0,0,613,4
training_data-148.npy,4038,0,33,55,345,355,0,0,172,2
training_data-149.npy,3621,6,119,68,327,314,0,80,464,1
training_data-150.npy,4089,0,33,50,235,283,0,0,309,1
training_data-151.npy,4378,0,0,5,155,225,0,0,236,1
training_data-152.npy,4129,21,56,30,207,200,0,0,356,1
training_data-153.npy,3246,21,151,253,339,360,0,2,621,7
training_data-154.npy,3005,33,264,231,324,248,0,0,891,4
training_data-155.npy,3214,71,312,118,359,278,0,5,638,5
training_data-156.npy,2819,80,312,193,376,390,52,45,728,5
training_data-157.npy,3534,0,96,100,307,374,97,0,488,4
training_data-158.npy,4234,0,46,37,200,204,57,0,221,1
training_data-159.npy,3664,0,125,38,422,400,0,0,346,5
training_data-160.npy,4411,0,7,9,128,247,0,0,195,3
training_data-161.npy,3945,0,83,29,224,271,0,0,448,0
training_data-162.npy,3659,81,214,61,267,315,72,7,320,4
training_data-163.npy,3245,55,158,131,210,382,84,154,579,2
training_data-164.npy,3559,50,117,66,216,143,112,23,712,2
