File,W,S,A,D,WA,WD,SA,SD,NK,NONE
training_data-1.npy,3442,0,165,197,348,233,0,0,615,0
training_data-2.npy,3566,48,125,90,373,379,0,0,418,1
training_data-3.npy,3310,0,214,163,272,269,0,0,771,1
training_data-4.npy,3263,54,219,295,632,365,3,0,167,2
training_data-5.npy,3411,46,174,163,267,397,46,0,495,1
training_data-6.npy,3143,92,187,113,336,421,23,58,625,2
training_data-7.npy,3035,122,247,185,296,406,11,3,694,1
training_data-8.npy,3440,47,194,114,326,467,0,1,406,5
training_data-9.npy,3259,10,125,92,257,159,61,120,916,1
training_data-10.npy,4190,0,151,10,263,243,0,0,140,3
training_data-11.npy,4203,0,57,21,235,366,0,0,117,1
training_data-12.npy,4213,0,29,47,235,244,0,0,231,1
training_data-13.npy,3294,59,166,153,281,248,0,0,797,2
training_data-14.npy,3814,0,18,53,477,348,0,0,289,1
training_data-15.npy,3157,46,192,313,264,393,0,97,536,2
training_data-16.npy,3234,90,143,232,509,304,56,29,400,3
training_data-17.npy,3398,122,172,207,309,323,0,27,441,1
training_data-18.npy,3839,0,47,68,267,318,0,0,460,1
training_data-19.npy,2809,79,415,153,399,242,18,0,884,1
training_data-20.npy,3955,24,78,46,161,335,0,0,400,1
training_data-21.npy,2731,45,231,210,516,397,8,174,685,3
training_data-22.npy,3164,6,460,353,229,337,0,1,450,0
training_data-23.npy,2536,5,346,524,376,692,9,0,511,1
training_data-24.npy,3680,0,192,200,266,395,0,0,266,1
training_data-25.npy,4054,19,42,26,221,381,0,0,255,2
training_data-26.npy,3792,84,70,65,307,283,2,118,278,1
training_data-27.npy,3348,109,193,124,242,376,6,12,589,1
training_data-28.npy,3753,0,135,143,237,393,0,0,338,1
training_data-29.npy,2868,2,362,410,344,271,3,60,677,3
training_data-30.npy,3463,3,167,215,344,249,0,37,521,1
training_data-31.npy,3485,69,242,137,486,261,72,92,137,19
training_data-32.npy,4295,0,28,29,214,259,0,0,174,1
training_data-33.npy,3394,10,356,146,222,306,0,0,563,3
training_data-34.npy,4285,16,67,15,189,242,0,0,184,2
training_data-35.npy,4098,30,112,15,221,193,27,0,304,0
training_data-36.npy,4089,0,71,31,303,240,0,0,262,4
training_data-37.npy,3343,13,96,159,231,414,93,0,644,7
training_data-38.npy,4022,0,61,79,300,284,0,0,251,3
training_data-39.npy,3351,27,249,207,258,252,31,87,538,0
training_data-40.npy,3303,56,254,164,316,373,0,0,529,5
training_data-41.npy,4054,28,87,72,219,249,43,0,246,2
training_data-42.npy,2914,62,380,187,420,426,0,0,610,1
training_data-43.npy,3338,13,95,155,473,507,0,25,393,1
training_data-44.npy,3728,0,95,104,352,277,0,0,443,1
training_data-45.npy,3911,3,101,86,272,209,45,0,368,5
training_data-46.npy,3874,0,113,62,340,343,0,0,268,0
training_data-47.npy,3841,24,59,95,258,186,0,2,532,3
training_data-48.npy,4386,0,17,4,282,197,0,0,112,2
training_data-49.npy,3380,79,123,116,295,238,51,66,651,1
training_data-50.npy,4165,0,57,40,291,250,0,0,197,0
training_data-51.npy,3684,15,100,74,392,267,32,29,403,4
training_data-52.npy,3495,78,148,94,374,391,10,4,405,1
training_data-53.npy,3721,0,77,123,231,290,0,0,557,1
training_data-54.npy,3344,28,147,195,274,316,58,0,636,2
training_data-55.npy,4144,0,27,14,273,256,0,0,286,0
training_data-56.npy,3993,0,29,12,292,241,0,0,431,2
